Default,
theta,C
0,-0.006228491
9.466424682395642,0.14973318697507437
18.932849364791284,0.2914204138583491
28.39927404718693,0.41974330478457716
37.86569872958257,0.5356119749081298
47.33212341197821,0.6399365393833787
56.79854809437386,0.7336271133646951
66.26497278,0.8175938120064502
75.73139745916514,0.8927467504630157
85.19782214156078,0.9599960438887628
94.66424682395642,1.020251807438063
104.13067150635206,1.0744241562652876
113.59709618874771,1.1234232055248083
123.06352087114335,1.168159070370996
132.5299456,1.2095418659582224
141.99637023593462,1.2484817074408587
151.46279491833027,1.2858887099732765
160.92921960072593,1.3226729887098474
170.39564428312156,1.3597446588049422
179.8620689655172,1.3980138354129326
180,1.4
